description,code_type,code_new
BORDETELLA,readv2_5,re_A33..
BORDETELLA BRONCHISEPTICA,conceptid,co_27836007
BRONCHIAL COUGH,aurmedcode,au_252360013
BRONCHIAL COUGH,conceptid,co_161929000
BRONCHIAL COUGH,ctv3,ct_YM9gj
BRONCHIAL COUGH,medcode,me_1025
BRONCHIAL COUGH,readv2_5,re_1719.
BRONCHIAL COUGH,readv2_7,re_1719.11
C/O - COUGH,aurmedcode,au_407081018
C/O - COUGH,conceptid,co_161921002
C/O - COUGH,conceptid,co_272039006
C/O - COUGH,ctv3,ct_YM1ir
C/O - COUGH,medcode,me_1273
C/O - COUGH,readv2_5,re_171..
C/O - COUGH,readv2_7,re_171..11
CHESTY COUGH,aurmedcode,au_252359015
CHESTY COUGH,conceptid,co_139186002
CHESTY COUGH,ctv3,ct_YM9gi
CHESTY COUGH,medcode,me_292
CHESTY COUGH,readv2_7,re_1719.00
COUGH,aurmedcode,au_82824016
COUGH,aurmedcode,au_961781000006119
COUGH,conceptid,co_49727002
COUGH,conceptid,co_961781000006103
COUGH,ctv3,ct_Y7DvP
COUGH,medcode,me_92
COUGH,readv2_7,re_171..00
COUGH SYMPTOM NOS,aurmedcode,au_252366019
COUGH SYMPTOM NOS,conceptid,co_139190000
COUGH SYMPTOM NOS,conceptid,co_161935000
COUGH SYMPTOM NOS,ctv3,ct_Y7DvR
COUGH SYMPTOM NOS,medcode,me_7707
COUGH SYMPTOM NOS,readv2_5,re_171Z.
COUGH SYMPTOM NOS,readv2_7,re_171Z.00
COUGH WITH FEVER,aurmedcode,au_216653013
COUGH WITH FEVER,conceptid,co_135883003
COUGH WITH FEVER,conceptid,co_366956000
COUGH WITH FEVER,conceptid,co_367181007
COUGH WITH FEVER,ctv3,ct_Yakn8
COUGH WITH FEVER,medcode,me_18907
COUGH WITH FEVER,readv2_5,re_171F.
COUGH WITH FEVER,readv2_7,re_171F.00
COUGHING UP PHLEGM,aurmedcode,au_598431000006113
COUGHING UP PHLEGM,conceptid,co_28743005
COUGHING UP PHLEGM,ctv3,ct_YM9gh
COUGHING UP PHLEGM,medcode,me_3645
COUGHING UP PHLEGM,readv2_5,re_1716.
COUGHING UP PHLEGM,readv2_7,re_1716.11
DRY COUGH,aurmedcode,au_20419011
DRY COUGH,conceptid,co_11833005
DRY COUGH,conceptid,co_139179005
DRY COUGH,ctv3,ct_Y7DvU
DRY COUGH,medcode,me_4931
DRY COUGH,readv2_5,re_1712.
DRY COUGH,readv2_7,re_1712.00
PERSISTENT COUGH,aurmedcode,au_423230012
